entity_id,entity_type,name,image_url
40789,character,"Azuma, Tokaku",https://cdn.myanimelist.net/images/characters/12/245309.jpg
40790,character,"Ichinose, Haru",https://cdn.myanimelist.net/images/characters/4/264213.jpg
40791,character,"Hashiri, Nio",https://cdn.myanimelist.net/images/characters/4/264225.jpg
40792,character,"Sagae, Haruki",https://cdn.myanimelist.net/images/characters/2/242077.jpg
40793,character,"Banba, Mahiru",https://cdn.myanimelist.net/images/characters/16/242075.jpg
40794,character,"Inukai, Isuke",https://cdn.myanimelist.net/images/characters/10/240269.jpg
40795,character,"Takechi, Otoya",https://cdn.myanimelist.net/images/characters/16/243827.jpg
40796,character,"Hanabusa, Sumireko",https://cdn.myanimelist.net/images/characters/2/249567.jpg
40797,character,"Namatame, Chitaru",https://cdn.myanimelist.net/images/characters/10/249565.jpg
40798,character,"Shutou, Suzu",https://cdn.myanimelist.net/images/characters/10/264343.jpg
40799,producer,KBS,
40800,character,"Hong, Du-Kaek",https://cdn.myanimelist.net/images/characters/4/409131.jpg
40801,character,Hany,https://cdn.myanimelist.net/images/characters/2/409129.jpg
40802,character,Moteo's Mother,https://cdn.myanimelist.net/images/characters/11/571283.jpg
40803,character,"Mote, Moteo",https://cdn.myanimelist.net/images/characters/2/497327.jpg
40804,character,Liv,https://cdn.myanimelist.net/images/characters/15/496281.jpg
40805,character,Karenina,https://cdn.myanimelist.net/images/characters/14/496279.jpg
40806,studio,Heewon Entertainment,
40807,studio,NHK Enterprises,
40808,character,"Ferina, Chiara",https://cdn.myanimelist.net/images/characters/12/112059.jpg
40809,character,"Karas, Ren",https://cdn.myanimelist.net/images/characters/9/112060.jpg
40810,character,"Nandie, Homi",https://cdn.myanimelist.net/images/characters/2/67407.jpg
40811,character,"Benson, Tom",https://cdn.myanimelist.net/images/characters/3/112062.jpg
40812,character,"Connolly, Ally",https://cdn.myanimelist.net/images/characters/5/91796.jpg
40813,character,"Karas, Dan",https://cdn.myanimelist.net/images/characters/2/369935.jpg
40814,character,"Weber, Hannah",https://cdn.myanimelist.net/images/questionmark_23.jpg
40815,character,"Ford, Rodney",https://cdn.myanimelist.net/images/characters/10/112064.jpg
40816,character,"Carr, Aimee",https://cdn.myanimelist.net/images/characters/9/112063.jpg
40817,staff,"Minamisawa, Michiyoshi",
40818,staff,"Fukuda, Kayo",
40819,character,"Saitou, Tomoko",https://cdn.myanimelist.net/images/characters/12/471243.jpg
40820,character,"Nakanishi, Ayaka",https://cdn.myanimelist.net/images/characters/11/471241.jpg
40821,staff,"Hirai, Minetarou",
40822,character,Wang,https://cdn.myanimelist.net/images/characters/2/427295.jpg
40823,character,"Cryostat, Plug",https://cdn.myanimelist.net/images/characters/6/91511.jpg
40824,character,"Blanket, Arrester",https://cdn.myanimelist.net/images/characters/14/67183.jpg
40825,character,"Oumi, Sento",https://cdn.myanimelist.net/images/characters/13/194921.jpg
40826,character,"Elmo, Rona",https://cdn.myanimelist.net/images/characters/12/67587.jpg
40827,character,"Galvani, Reika",https://cdn.myanimelist.net/images/characters/16/226617.jpg
40828,character,"Oumi, Hakone",https://cdn.myanimelist.net/images/characters/16/194925.jpg
40829,character,"Shunt, Kuran",https://cdn.myanimelist.net/images/characters/15/194927.jpg
40830,character,"Tomonaga, Iono",https://cdn.myanimelist.net/images/characters/11/194929.jpg
40831,character,"Trans, Pulse",https://cdn.myanimelist.net/images/characters/16/194931.jpg
40832,character,Paita-kun,https://cdn.myanimelist.net/images/characters/2/570210.jpg
40833,studio,Tokyo TV Douga,
40834,producer,DOGA Productions,
40835,character,"Tamai, Shingo",https://cdn.myanimelist.net/images/characters/13/538305.jpg
40836,character,"Yamagata, Gojuurou",https://cdn.myanimelist.net/images/characters/10/533659.jpg
40837,staff,"Suzuki, Yoshitake",
40838,character,Zudaban,https://cdn.myanimelist.net/images/characters/16/524141.jpg
40839,character,Kom,https://cdn.myanimelist.net/images/characters/8/524139.jpg
40840,voice_actor,"Yoshida, Honoka",https://cdn.myanimelist.net/images/voiceactors/1/76263.jpg
40841,voice_actor,"Kubozuka, Yosuke",https://cdn.myanimelist.net/images/voiceactors/2/76265.jpg
40842,character,Romy,https://cdn.myanimelist.net/images/characters/15/524143.jpg
40843,voice_actor,"Miyazawa, Rie",https://cdn.myanimelist.net/images/voiceactors/1/76264.jpg
40844,character,"Kamijou, Hikari",https://cdn.myanimelist.net/images/characters/8/561967.jpg
40845,character,"Shiina, Hazuki",https://cdn.myanimelist.net/images/characters/11/457262.jpg
40846,character,"Ooishi, Takaaki",https://cdn.myanimelist.net/images/characters/2/457263.jpg
40847,character,Hazuki's Mother,https://cdn.myanimelist.net/images/characters/6/544561.jpg
40848,character,Takaaki's Father,https://cdn.myanimelist.net/images/characters/8/544557.jpg
40849,character,"Gueorguiva, Diliana",https://cdn.myanimelist.net/images/characters/14/546666.jpg
40850,character,Micky,https://cdn.myanimelist.net/images/characters/15/547667.jpg
40851,character,"Lenova, Maria",https://cdn.myanimelist.net/images/characters/15/546675.jpg
40852,character,"Owen, Rex",https://cdn.myanimelist.net/images/characters/4/151201.jpg
40853,voice_actor,"Mizuguchi, Matsuri",https://cdn.myanimelist.net/images/voiceactors/3/83687.jpg
40854,character,"Tatsuno, Malm",https://cdn.myanimelist.net/images/characters/15/151551.jpg
40855,character,"Kodai, Ryuuta",https://cdn.myanimelist.net/images/characters/4/151505.jpg
40856,character,Nopis,https://cdn.myanimelist.net/images/characters/8/151437.jpg
40857,character,"Tatsuno, Liz",https://cdn.myanimelist.net/images/characters/3/151725.jpg
40858,character,"Kodai, Kenryu",https://cdn.myanimelist.net/images/characters/8/151473.jpg
40859,character,Mihasa,https://cdn.myanimelist.net/images/characters/10/190040.jpg
40860,character,"Sonoida, Dr.",https://cdn.myanimelist.net/images/characters/14/151443.jpg
40861,character,Noratty,https://cdn.myanimelist.net/images/characters/6/151469.jpg
40862,character,"Hakufu, Sonsaku",https://cdn.myanimelist.net/images/characters/4/178923.jpg
40863,voice_actor,"Yoneshima, Nozomi",https://cdn.myanimelist.net/images/voiceactors/1/38710.jpg
40864,character,"Madoka, Tatsuya",https://cdn.myanimelist.net/images/characters/13/54370.jpg
40865,character,"Kageyama, Hiroko",https://cdn.myanimelist.net/images/characters/8/54411.jpg
40866,character,Novem,https://cdn.myanimelist.net/images/characters/3/53782.jpg
40867,character,Sex,https://cdn.myanimelist.net/images/characters/16/62126.jpg
40868,character,"Madoka, Kiyoko",https://cdn.myanimelist.net/images/characters/8/54334.jpg
40869,character,"Omuro, Fuuko",https://cdn.myanimelist.net/images/characters/5/57163.jpg
40870,character,"Madoka, Terumichi",https://cdn.myanimelist.net/images/characters/11/57753.jpg
40871,character,"Yuki, Reiko",https://cdn.myanimelist.net/images/characters/10/56453.jpg
40872,character,"Kazamatsuri, Hayato",https://cdn.myanimelist.net/images/characters/6/56565.jpg
40873,character,Septem,https://cdn.myanimelist.net/images/characters/3/32523.jpg
40874,voice_actor,"Oono, Eri",https://cdn.myanimelist.net/images/voiceactors/3/16499.jpg
40875,staff,"Furuichi, Tadatsugu",
40876,character,"Arno, Seabook",https://cdn.myanimelist.net/images/characters/14/69950.jpg
40877,character,"Fairchild, Cecily",https://cdn.myanimelist.net/images/characters/6/79777.jpg
40878,character,"Ronah, Carozzo",https://cdn.myanimelist.net/images/characters/14/69952.jpg
40879,voice_actor,"Maeda, Masaaki",https://cdn.myanimelist.net/images/voiceactors/1/41108.jpg
40880,character,"Chareux, Zabine",https://cdn.myanimelist.net/images/characters/8/455578.jpg
40881,character,"Maujin, Migen",https://cdn.myanimelist.net/images/characters/14/455557.jpg
40882,character,"Editoh, Minmi",https://cdn.myanimelist.net/images/characters/9/455577.jpg
40883,character,"Arno, Monica",https://cdn.myanimelist.net/images/characters/4/455564.jpg
40884,character,"Panopa, Manuela",https://cdn.myanimelist.net/images/characters/13/455580.jpg
40885,character,"Edaberry, Leahlee",https://cdn.myanimelist.net/images/characters/6/455559.jpg
40886,character,"Hein, Kochun",https://cdn.myanimelist.net/images/characters/7/455575.jpg
40887,staff,"Sakuma, Shinichi",
40888,studio,Project Team Sarah,
40889,producer,Ai ga areba Daijobu,
40890,producer,Tamura Shigeru Studio,
40891,character,Artist R,https://cdn.myanimelist.net/images/characters/16/527417.jpg
40892,staff,"Shionaga, Atsuo",
40893,staff,"Tamura, Shigeru",
40894,staff,"Ogasawara, Hiroshi",
40895,staff,"Kashiwagi, Kyouko",
40896,character,Bunkichi,https://cdn.myanimelist.net/images/questionmark_23.jpg
40897,character,"Murosaka, Shuuhei",https://cdn.myanimelist.net/images/characters/9/594595.jpg
40898,character,"Tsurumi, Ryouka",https://cdn.myanimelist.net/images/characters/6/566487.jpg
40899,character,"Tsurumi, Mother",https://cdn.myanimelist.net/images/questionmark_23.jpg
40900,staff,"Ooishi, Romy",
40901,producer,QREAZY,
40902,character,"Fujikido, Kenji",https://cdn.myanimelist.net/images/characters/5/294357.jpg
40903,character,"Lee, Nancy",https://cdn.myanimelist.net/images/characters/8/294350.jpg
